Lemma,Part-of-Speech,Sense_id,Gloss,Confidence,Grade
把,P,04011702,引介導致狀態改變的目標。,0.8707,4上
把,P,04011701,引介處置的對象。,0.9937,4上
把,P,04011702,引介導致狀態改變的目標。,0.1710,4上
把,P,04011701,引介處置的對象。,0.4968,4上
把,P,04011702,引介導致狀態改變的目標。,0.9442,4上
把,P,04011702,引介導致狀態改變的目標。,0.8943,4上
把,P,04011702,引介導致狀態改變的目標。,0.8395,4上
把,P,04011701,引介處置的對象。,0.5235,4上
把,P,04011702,引介導致狀態改變的目標。,0.8748,4上
把,P,04011702,引介導致狀態改變的目標。,0.9996,4上
把,P,04011702,引介導致狀態改變的目標。,0.9945,4上
把,P,05000609,計算用手動作次數的單位，前接數詞，多半出現在動詞的後面。,0.4089,4上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4570,4上
把,P,04011702,引介導致狀態改變的目標。,0.9695,4上
把,P,04011702,引介導致狀態改變的目標。,0.6327,4上
把,P,04011701,引介處置的對象。,0.4198,4上
把,P,05000609,計算用手動作次數的單位，前接數詞，多半出現在動詞的後面。,0.5039,4上
把,P,04011702,引介導致狀態改變的目標。,0.6832,4上
把,Nf,05000604,計算可以用手一把抓起的物品的單位。,0.7522,4上
把,P,04011702,引介導致狀態改變的目標。,0.7934,4上
把,P,05000606,計算成束的長條狀物品的單位。,0.7531,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.6671,4下
把,P,04011702,引介導致狀態改變的目標。,0.7261,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.5140,4下
把,P,04011702,引介導致狀態改變的目標。,0.6482,4下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.6720,4下
把,P,04011702,引介導致狀態改變的目標。,0.9885,4下
把,P,04011702,引介導致狀態改變的目標。,0.4074,4下
把,P,04011702,引介導致狀態改變的目標。,0.9959,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.9903,4下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4073,4下
把,P,04011702,引介導致狀態改變的目標。,0.9937,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.4310,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.8144,4下
把,P,05000609,計算用手動作次數的單位，前接數詞，多半出現在動詞的後面。,0.3492,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.4096,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.5403,4下
把,P,04011702,引介導致狀態改變的目標。,0.8206,4下
把,P,04011702,引介導致狀態改變的目標。,0.7307,4下
把,Nf,05000606,計算成束的長條狀物品的單位。,0.7501,4下
把,P,04011701,引介處置的對象。,0.6275,4下
把,P,05000606,計算成束的長條狀物品的單位。,0.4597,4下
把,Nf,05000606,計算成束的長條狀物品的單位。,0.5474,4下
把,Nf,05000606,計算成束的長條狀物品的單位。,0.8225,4下
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.7445,4下
把,P,04011701,引介處置的對象。,0.9817,4下
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4259,4下
把,P,04011702,引介導致狀態改變的目標。,0.2865,4下
把,P,04011701,引介處置的對象。,0.6907,4下
把,P,04011702,引介導致狀態改變的目標。,0.9492,4下
把,P,04011701,引介處置的對象。,0.9712,4上
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.4290,4上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4032,4上
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.5132,4上
把,P,04011702,引介導致狀態改變的目標。,0.9825,4上
把,P,04011703,引介認知評價的對象。,0.5410,4上
把,P,04011702,引介導致狀態改變的目標。,0.9098,4上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.4110,4上
把,P,04011701,引介處置的對象。,0.9701,4上
把,P,04011702,引介導致狀態改變的目標。,0.9101,4上
把,P,04011702,引介導致狀態改變的目標。,0.6847,4上
把,P,04011702,引介導致狀態改變的目標。,0.6286,4上
把,P,04011702,引介導致狀態改變的目標。,0.4056,4上
把,P,04011702,引介導致狀態改變的目標。,0.7840,4上
把,P,04011702,引介導致狀態改變的目標。,0.4373,4上
把,P,04011702,引介導致狀態改變的目標。,0.9103,4上
把,P,04011703,引介認知評價的對象。,0.6344,3上
把,P,05000604,計算可以用手一把抓起的物品的單位。,0.7804,3上
把,P,05000609,計算用手動作次數的單位，前接數詞，多半出現在動詞的後面。,0.5129,3上
把,P,04011702,引介導致狀態改變的目標。,0.6578,3上
把,P,04011702,引介導致狀態改變的目標。,0.8250,3上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.6124,3上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.7341,3上
把,P,05000603,計算有把手或是可以握在手中的物品的單位。,0.3119,3上
把,P,04011702,引介導致狀態改變的目標。,0.7001,3上
把,P,04011703,引介認知評價的對象。,0.9660,3上
把,P,04011703,引介認知評價的對象。,0.4149,3上
把,P,04011703,引介認知評價的對象。,0.9540,3上
把,P,04011702,引介導致狀態改變的目標。,0.4556,3上
把,P,04011702,引介導致狀態改變的目標。,0.2562,3下
把,P,04011702,引介導致狀態改變的目標。,0.3718,3下
把,Nf,05000604,計算可以用手一把抓起的物品的單位。,0.8350,3下
把,P,04011702,引介導致狀態改變的目標。,0.9942,3下
把,P,04011702,引介導致狀態改變的目標。,0.7906,3下
把,P,04011703,引介認知評價的對象。,0.3215,3下
